id,publisher_id,name,slug,description,created_at,active
61,1,Cable (2008),cable-2008,"Новая онгоинг-серия про одноглазого мутанта из будущего Кейбла, он же Натан Саммерс. Работают над серией Дуэйн Сверчински(Duane Swierczynski) и Ариэл Оливьетти(Ariel Olivetti), до этого вместе работающие над Punisher War Journal vol.2. Сюжет самой серии является прямым продолжением событий глобального события в мире Людей Икс - Комплекса Мессии. Кейбл забрал ребенка с собой в будущее, но за ним в будущее отправился и старый враг Натана, Бишоп, который готов на всё, чтобы убить Кейбла и забрать ребенка.",2025-10-28 18:06:56,1
62,1,Captain America (2002),captain-america-2002,"4-й том Капитана Америка, запущенный изначально в память о событиях 11-го сентября. Одной из центральных тем серии является разочарование Капитана в правительстве, \""Защите\"" и т.д. Также активно продвигались изменения ориджина Кэпа, от которых, впрочем, издательство потом отказалось, предпочитая благополучно забыть. К сожалению, серия никак не могла найти свою нишу, почти каждый сюжет менялся авторский состав, особой любви фанатов она также не снискала и была закрыта на 32-м номере.",2025-10-28 18:06:56,1
63,1,Captain America (2005),captain-america-2005,"Захватывающая смесь супергероики и современного шпионского боевика, неожиданно способная заинтересовать даже тех, кто и слышать не желает о человеке, сражающемся за правду в костюме цвета звездно-полосатого флага.",2025-10-28 18:06:56,1
64,1,Carnage (2015),carnage-2015,"Клетус Кэссиди всегда по своей натуре был охотником. Кровожадным охотником. Но теперь правила игры изменились, и правительство США решило поменяться ролями, послав на охоту отряд ФБР специального назначения во главе с Клэр Диксон. Бонусом стал полковник Джеймсон, который не переваривает плохих ребят, и Эдди Брок, переживший мучительный союз с Веномом, который имеет свои счеты с Кэссиди и симбиотами в целом. Охота начинается; сумеет ли Кэссиди сохранить статус \""охотника\"", или же он падет жертвой правительственной охоты?",2025-10-28 18:06:56,1
65,1,Daredevil (1964),daredevil-1964,Классические приключения слепого борца с правосудием. От Стэна Ли до Фрэнка Миллера.,2025-10-28 18:06:56,1
66,1,Daredevil (1998),daredevil-1998,"Адвокат Мэтт Мёрдок ослеп в детстве, но благодаря своему таланту и стремлению к тренировкам он добился удивительных результатов. Его остальные органы чувств развились до сверхчеловеческой остроты, а физические тренировки отточили его боевые навыки. Он стал Сорвиголовой - героем в костюме Дьявола, воплощением правосудия и порядка на улицах Нью-Йорка. Его дом и главная территория, на которой он наводит порядок - Адская Кухня. Борьба Сорвиголовы за добро и справедливость привела к тому, что он нажил себе множество сильных и влиятельных врагов, которые представляют угрозу личной жизни Мэтта Мёрдока и его близких.",2025-10-28 18:06:56,1
67,1,Daredevil: Redemption (2005),daredevil-redemption-2005,,2025-10-28 18:06:56,1
68,1,Daredevil Noir (2009),daredevil-noir-2009,"Нуарную версию и без того достаточно нуарного персонажа представляют нам Александер Ирвин и Том Кокер. В ней они показывают нам Мэтта Мердока в начале своего пути, пути героя. В отличии от классической вселенной, Мэтт здесь слепой с рождения, также он работает посыльным у третьесортного детектива Фогги Нельсона. При всем при этом есть и сюжетные линии, пересекающиеся с классической вселенной, как, например, то, что отец Мэтта был боксером и его убили. Главным злодеем серии выступает хорошо всем известный Уилсон Фиск, но здесь у него появляется могущественный соперник Орвилл Халлоран, жаждущий захватить империю Фиска.",2025-10-28 18:06:56,1
69,1,Darkdevil (2000),darkdevil-2000,Все вы знаете о вселенной Марвел-2. В ней геройствуют потомки нынешних звёзд Марвел. Мы познакомим вас с одним из них. Он сын Бена Рейли. Но он не плетёт паутину и не гоняет по улицам Зелёного Гоблина. Он продолжатель дела самого Сорвиголовы. И зовут его ДаркДевил.,2025-10-28 18:06:56,1
71,1,Deadpool (1997),deadpool-1997,"Прозванный «языкастым наёмником», Дэдпул — оснащённый по последнему слову техники боец, известный своими остротами и чёрным юмором. Как и Росомаха из Людей Икс, Дэдпул был подвергнут опытам по программе «Оружие Икс». После того как учёные попытались исцелить его рак, привив его клеткам способность к регенерации, Дэдпул остался изуродованным и психически нестабильным. Появился в 616-ой Вселенной, также есть версии в Age of Apocalypse, Days of Future Past и фигурирует в eXiles.",2025-10-28 18:06:56,1
72,1,Deadpool (2008),deadpool-2008,"Прозванный «языкастым наёмником» Дэдпул — оснащённый по последнему слову техники боец, известный своими остротами и чёрным юмором. Как и Росомаха из Людей Икс, Дэдпул был подвергнут опытам по программе «Оружие Икс». После того как учёные попытались исцелить его рак, привив его клеткам способность к регенерации, Дэдпул остался изуродованным и психически нестабильным. Появился в 616-ой Вселенной, также есть версии в Age of Apocalypse, Days of Future Past и фигурирует в eXiles.",2025-10-28 18:06:56,1
73,1,Prelude To Deadpool Corps (2010),prelude-to-deadpool-corps-2010,"Станьте свидетелями зарождения совершенно новой и просто-напросто величайшей из когда-либо существовавших команд на свете! В теории симпатичная, а на деле не очень королева убийств Леди Дэдпул! Неуязвимая собака с мазохистскими наклонностями Догпул! Злобная, готовая всех сожрать зомби-голова Хэдпул! Желающий что-то поджечь и просто любитель натянуть кого-то Кидпул! И конечно же, всеми любимый и неподражаемый ололольщик Дэдпул! Только они, эти пять придурков могут спасти наш мир...то есть, не наш мир...а вообще все миры!!!11 Ахахахахаха!!!!111",2025-10-28 18:06:56,1
74,1,Deadpool: Suicide Kings (2009),deadpool-suicide-kings-2009,"Короли Суицида - это мини-серия о похождениях болтливого наёмника, который (ну как и всегда) пытается заработать на своём нелёгком труде. В этот раз он попадается на удочку молодого паренька Конрада, которого, в ту же очередь, водит за нос Томбстоун. В эту же игру попадают и более брутальные персонажи, такие, как Каратель со своим новым дружком, Человек-паук и Сорвиголова.",2025-10-28 18:06:56,1
75,1,Deadpool Team-Up (2009),deadpool-team-up-2009,"Дэдпул тусуется со всевозможными персонажами Марвел, натужно пытаясь шутить. Каждый выпуск - новый гость номера. Особенность серии: обратная нумерация.",2025-10-28 18:06:56,1
76,1,Doctor Strange: The Oath (2006),doctor-strange-the-oath-2006,"Доктор Стефан Стрэндж - бывший хирург, а ныне верховный маг Земли, призванный защищать нашу планету от любых магических атак из других измерений. Персонаж придумали Стэн Ли и Джек Кирби, а дебютировал маг в журнале Strange Tales #110 в 1962-м году.",2025-10-28 18:06:56,1
77,1,Fantastic Four (2018),fantastic-four-2018,,2025-10-28 18:06:56,1
78,1,Gamora (2016),gamora-2016,Прежде чем появились Стражи Галактики... была Гамора! Сценарист фильма «Стражи галактики» Николь Перлман и выдающийся художник Marvel Марко Кеккетто начинают невероятную серию о восхитительной Гаморе. Когда-то она была практикующим убийцей и любимицей Таноса. Сейчас она опора Стражей Галактики и любой ценой защищает невинных. Что заставило ее так измениться? Об этом вы вскоре узнаете.,2025-10-28 18:06:56,1
79,1,GeNEXT (2008),genext-2008,"GeNext - это серия из пяти выпусков, созданная отцом оригинальных Людей-Икс Крисом Клэйрмонтом. Серия была вбырана из множества других саимми посетителями сайта Marvel.com. В качестве сюжетной основы взята идея о том, чт обыло бы если бы события в комиксах про Людей Икс просиходили в реальном времени. Главными героями серии являются дети известных нам супергероев, которые уже давно ушли на покой. Во главу комикса поставлено отношение этого нового поколения мутантов к тому, что они обязаны быть супергероями только потому что обладают суперсилами.",2025-10-28 18:06:56,1
80,1,Ghost Rider (2006),ghost-rider-2006,"Призрачный Гонщик - мстительный дух, преследующий виновных в серьезных преступлениях, а также демонов, не угодивших Люциферу или же тех, кто нарушает границу между людским миром и Адом. Днем он обычный человек, а ночью становится созданием Ада, не знающим пощады, не ведающим боли и усталости. Призрачные Наездники существовали испокон веков. В каждом веке был свой Призрачный Наездник, сначала это были Всадники, а в современном мире стали Гонщиками, поменяв живых коней на \""стальных\"". Сейчас Призрачным Гонщиком стал Джонни Блэйз, каскадер-мотоциклист, заключивший с Люцифером сделку и обманутый им. В гневе от того, что его обманули, Джонни Блэйз карает всех виновных в ужасных преступлениях, но самое главное - он уничтожает демонов, вторгшихся на Землю и ищет способ отомстить Люциферу...",2025-10-28 18:06:56,1
81,1,Giant-Size Spider-Man (1974),giant-size-spider-man-1974,,2025-10-28 18:06:56,1
82,1,Groot (2015),groot-2015,Первая сольная серия про самое многословное космическое дерево. Уморительные и опасные приключения Енота и Грута продолжаются!..,2025-10-28 18:06:56,1
83,1,Guardians 3000 (2014),guardians-3000-2014,,2025-10-28 18:06:56,1
84,1,Unbelievable Gwenpool (2016),unbelievable-gwenpool-2016,"Недавно введённый в комиксы Marvel, персонаж Gwenpool обзавёлся собственной серией комиксов и становится полноценным супергероем. Гвенпул не обладает суперспособностями, но необычная жизненная позиция и комичный характер даёт ей силы для множества приключений. Создатели персонажа считают, что её история захватит интерес читателей не меньше, чем Гвен-Паук в параллельной вселенной. По их заверениям, фанатов ждет невероятный сюжет, и сама вселенная Земля-616 будет недовольна новым экстравагантным супергероем.",2025-10-28 18:06:56,1
85,1,Heroes for Hire (2011),heroes-for-hire-2011,"Проблемы с Сорвиголовой и его безумной армией ниндзя, кажется, наконец-то решены, но это не значит, что на улицах Нью-Йорка вновь безопасно. В городе появился новый вид наркотиков, моментально вызывающий привыкание. Кто его распространяет? Откуда он взялся? Как его остановить? На эти вопросы попытается ответить Мисти Найт со своей новой, далеко нестандартной версией команды \""Герои По Найму\""",2025-10-28 18:06:56,1
86,1,Hulk: Nightmerica (2003),hulk-nightmerica-2003,"Баннер встречает девушку, за которой охотятся роботы. Поневоле пришлось вмешаться. Что привело к знакомству с удивительными мутантами, которых преследует зловещая корпорация...",2025-10-28 18:06:56,1
87,1,Immortal Iron Fist (2006),immortal-iron-fist-2006,"Знакомьтесь - Дэниел Рэнд. Миллиардер. Наследник корпорации «Рэнд». Железный Кулак. В этот раз ему придётся не только выяснить, что замышляет зловещая корпорация Гидра, не только сразиться со своим главным врагом – Стальным Змием, но и разобраться в своих предках, своей силе, и своём предназначении.",2025-10-28 18:06:56,1
88,1,Incredible Hulk (2000),incredible-hulk-2000,"Брюс Бэннер - обычный ученный, ничего выдающегося. Но при случайном эксперименте на него воздействуют гамма-лучи, и он становится Невероятным Халком. Теперь, при любом возбуждении (даже при сексуальном), он превращается в огромного монстра, способного сравнивать с землей города, планеты с Галактикой и тд.",2025-10-28 18:06:56,1
89,1,Iron Man: Viva Las Vegas (2008),iron-man-viva-las-vegas-2008,"Тони Старк, он же Железный Человек, фигура широко известная. Миллиардер и владелец собственной гигантской компании, он добился всего сам. Не обладая никакими сверхспособностями он поднялся к вершине, благодаря своему уму и таланту. Тони Старк - выдающийся ученый, он сконструировал специальную броню, аналогов которой ещё не было нигде. Именно костюм способствовал его прозвищу Железный Человек. Постепенно костюмы сменялись более совершенными, менялся и сам Тони Старк. Переживая взлеты и падения, он тем не менее держится стороны закона и государства. Ну, а сейчас Тони Старк решил просто отдохнуть в Лас Вегасе, что конечно же, не будет похоже на отдых...",2025-10-28 18:06:56,1
90,1,Iron Man (1998),iron-man-1998,,2025-10-28 18:06:56,1
91,1,Amazing Spider-Man Presents: Jackpot (2010),amazing-spider-man-presents-jackpot-2010,"Кто такая Джекпот?! Этот вопрос затронул большую часть года из жизни Человека-Паука, когда он впервые встретил рыжеволосую супергеройшу, которая очень напоминала его бывшую девушку, Мери Джейн Уотсон. Но узнав, что это Алана Джобсон, предполагаемая героиня, принимающая таблетки для повышения Гормонов Мутации, он попытался положить конец ее попыткам только для того, что бы увидеть, как она умирает от отравлений наркотиками попавших в ее организм. Но Алана не была, первой Джекпот… она купила имя у Сары Эрет, женщины обладающей супер способностями, которая их не использовала. Сара не хотела бороться с преступностью, она хотела обычной жизни. Когда Человек-Паук повстречался с Сарой, Сара вела себя вызывающе и попросила Человека-Паука покинуть её дом. Но Человек-Паук вернул ей костюм Джекпот...",2025-10-28 18:06:56,1
92,1,Jean Grey (2017),jean-grey-2017,,2025-10-28 18:06:56,1
93,1,Journey Into Mystery (1952),journey-into-mystery-1952,"Добро пожаловать в мир комикса \""Путешествия в Тайну\"". Итак, начнем ваше знакомство с этой серией, первый выпуск которой вышел в свет в июне 1952 года. В основном речь в комиксе шла про всяких монстров и сверхъестественные события, и выпуски не были связаны между собой. И так спустя 10 лет выходит 83 выпуск, именно с него началась сага о Торе, и продолжилась до 125-ого выпуска, также в свет вышел аннуал \""Путешествия в Тайну\"". И именно эти 42 выпуска, познакомившие мир с Тором и его второй личностью Доном Блейком, а также благородным Одином и злым братом Локи, осели в душе фанатов на столько глубоко, что издательство Marvel начали выпускать первый том \""Могучего Тора\"", а продолжили они историю с того места, где закончилось \""Путешествие в Тайну\"".",2025-10-28 18:06:56,1
94,1,Logan (2008),logan-2008,"Росомаха приходит в место, где он стал человеком. Там он встречается со своим старым врагом. Перед последней битвой окунемся в воспоминания Логана. Он очутился в камере, где помимо него был заключен и Лейтенант Уоррен. Логан, только прейдя в себя, тут же решает сбежать. И у него это получается. Но вскоре пути Логана и Уоррена расходятся: первый прогоняет его за то, что тот хотел убить девушку, принимая ее за шпиона. Уоррен возненавидел Логана за \""Предательство\"" и теперь жаждет убить его.",2025-10-28 18:06:56,1
95,1,Loki (2004),loki-2004,"Локи - Бог обмана и коварства, сын бывшего короля ледяных гигантов Лайфея, сводный брат Тора, и приёмный сын Одина. Наконец он добился своей цели. Заключив союз со многими врагами Асгарда, ему удалось захватить власть над ним, заковав в темницы своих приёмных отца и брата, а также всех их друзей. Но что же делать дальше?..",2025-10-28 18:06:56,1
96,1,Loki: Agent of Asgard (2014),loki-agent-of-asgard-2014,"Что ждет Локи после событий «Путешествие в тайну» и «Юные Мстители. Том 2»? Узнаете из новой серии о приключениях бога коварства в рамках All New Marvel NOW! Малыш Локи вырос. Бог коварства стал еще сильнее, умнее и привлекательнее. Единственный и неповторимый секретный агент Асгардии, он готов лгать, хитрить, красть, блефовать и даже флиртовать, лишь бы добиться успеха в тех задачах, что возложит на него Всемать. Правда или нет? В том, что касается бога лжи, ни в чем нельзя быть уверенным.",2025-10-28 18:06:56,1
98,1,X-Force (2008),x-force-2008,"Они мутанты, но уже не Люди Икс. Они - ударная сила, во спасение мутантского рода. Они действуют там, где бессильны Люди Икс. Они - это команда неистовых мстителей, яростно защищающих свою расу. Их называют Силой Икс. Когда-то расформированную Силу Икс вновь собирает Циклоп, лидер Людей Икс. Во главе команды он ставит Росомаху, также в состав вошли Икс-23, Варпат, Вульфсбейн, Архангел и это ещё не весь список. Причиной воссоединения Силы Икс стали Очистители - секта религиозных фанатиков, яростно истребляющих всех мутантов. Очистители стали слишком решительными и опасными. Пора избавиться от этой угрозы раз и навсегда.",2025-10-28 18:06:56,1
99,1,Moon Girl and Devil Dinosaur (2015),moon-girl-and-devil-dinosaur-2015,"Лунелла Лафайет - гений-подросток, которая хочет изменить мир, а для этого ей понадобится не только гениальный ум, а гораздо больше. Но её жизнь переворачивается с ног на голову, когда из доисторического прошлого телепортируется Дьявольский динозавр. Готовьтесь к множеству приключений вместе с удивительной командой.<br>MARVEL представляет… Лунная девочка и Дьявольский динозавр.",2025-10-28 18:06:56,1
100,1,Nextwave: Agents Of Hate (2006),nextwave-agents-of-hate-2006,"Комикс НоваяВолна (Nextwave) (авторы Уоррен Эллис сценарист и Стюарт Иммонен художник) появился в 2006 и был закрыт после первых 12 выпусков в Феврале 2007. Официальной причинной послужили низкие продажи комикса, так же Marvel очень дорого обходились услуги Стюарта Иммонен. С #3 серию переименовали в НоваяВолна: агенты В.А.Д.а (Nextwave: Agents of H.A.T.E.). 11 номер содержал несколько разворотов с сценами битв НовойВолны с монстрами, но что бы увидеть их все пришлось бы купить целых 6 копий 11 номера, но последнем развороте было написано: «НоваяВолна: Величайшая трата ваших денег с 2006 года». НоваяВолна часто показывает различных персонажей комиксов Marvel в достаточно юмористическом виде.",2025-10-28 18:06:56,1
101,1,New X-men (2001),new-x-men-2001,"Одна из лучших и самых значимых серий о Людях Икс. Знаменитый своими необычными новыми идеями сценарист Грант Моррисон с командой различных художников показывают нам известную команду мутантов в другом свете, под более жестоким и взрослым ракурсом. Именно на страницах этой серии появились такие персонажи, как Кассандра Нова, Фантомекс, Ксорн и многие другие; именно в арках этой серии произошли такие события, как геноцид на Геноше, раскрытие тайны Оружия X и начало романа Скотта и Эммы. Серия, которая заставит ваш мозг вспыхнуть.",2025-10-28 18:06:56,1
102,1,New Mangaverse: The Rings of Fate (2006),new-mangaverse-the-rings-of-fate-2006,"Первый запуск вселенной в стиле манга в Marvel был в 2002-м году. Он не удался – это было убогое зрелище, как визуально, так и в плане сюжета. Второй по счёту запуск произошёл в 2005-м году, и рисовал серию уже японский художник. Результат – яркий и динамичный, в лучших традициях манги – перед вами.",2025-10-28 18:06:56,1
103,1,Nightcrawler (2014),nightcrawler-2014,"Недавно вернувшись из мёртвых, ветеран Людей Икс Курт Вагнер попадает в мир, который далек от того, что он покинул: профессор Ксавье мертв, Циклоп в бегах, а Люди Икс разделены.<br><br>Но он полон решимости не тратить жизнь впустую. Ночной Змей путешествует вместе с Росомахой, желая исправить ошибки прошлого и защитить будущее мутантов... Он собирается сделать это с помощью средств, которые он любит больше всего: безрассудства, обаятельности и, конечно же, БАМФанья!<br>Читайте окончание серии на РПЮ!",2025-10-28 18:06:56,1
104,1,Nova (2007),nova-2007,"Четвертый том приключений землянина Ричарда Райдера, члена Центурионов Корпуса Нова. В ходе глобального события \""Аннигиляция\"" все другие Центурионы были уничтожены, остался один Ричард, который вобрал в себя всю мощь погибших товарищей. Эта серия о том, как Нова в одиночку защищает справедливость во вселенной, сталкиваясь с самыми страшными угрозами: От Галактуса до Фаланги и Скруллов.",2025-10-28 18:06:56,1
105,1,Nova (2013),nova-2013,"Сэм Александр - мальчик, живущий в небольшом городке Кэрифри. Его отец постоянно рассказывал ему и его младшей сестре сказки о том, как он был Новой и блуждал по галактикам, спасая мир. Но кто же знал, что он не врет и все это правда?",2025-10-28 18:06:56,1
106,1,Nova (2015),nova-2015,"Отец Сэма Александра вернулся в семью и все вроде бы наладилось и пошло в гору. Но как известно, счастливые времена быстро заканчиваются и за углом поджидает опасность, сможет ли Сэм сохранить свою семью и защитить её, тем более когда подвох может быть там, где его не ожидаешь?",2025-10-28 18:06:56,1
107,1,Punisher (2001),punisher-2001,"Еще один том из 37-и номеров о приключениях мстителя с черепом на майке - Карателя. Его настоящее имя - Фрэнк Кастл, он ветеран Вьетнама, вернувшийся домой и потерявший уже здесь, в Нью-Йорке, семью. Умен, силен, расчетлив, жесток, неудержим - с тех пор он мстит мафиози, садистам, педофилам, толкателям наркоты, убийцам и прочей мрази. Большинство номеров были написаны Гартом Эннисом, куда он не преминул вставить свою фирменную чернуху и высмеивание супергероев.",2025-10-28 18:06:56,1
108,1,Punisher (2009),punisher-2009,"Фрэнк Кастл. Каратель. Мститель с черепом на груди. Долгое время он был на задворках вселенной Marvel. Долгое время он был сторонним молчаливым наблюдателем. Но теперь пришло его время выйти вперед и переписать историю супергероев. В мире растет и шириться \""Тёмная Власть\"" и Фрэнк один из первых кто готов бросить ей вызов и вступить в суровую схватку не на жизнь, а на смерть. Он готов навести прицел на супергероев, предавших свои принципы, и суперзлодеев, дорвавшихся до правления. Он готов пойти против всех...",2025-10-28 18:06:56,1
109,1,Punisher (2011),punisher-2011,"Совершенно новый том приключений Карателя! Сценарист Грег Ракка (Detective Comics, Gotham Central) и художник Марко Чеччетто (Amazing Spider-Man, Daredevil) объединяются, чтобы поведать нам новые истории из жизни мстителя с черепом на майке! Исполненная в мрачном, почти \""MAX\""-стиле, серия показывает нам Фрэнка, как силу природы, которая без лишних слов уничтожает преступность. Первая его проблема - новая преступная организация \""Обмен\"", жестокая, умная и беспощадная.",2025-10-28 18:06:56,1
110,1,Punisher: Year One (1994),punisher-year-one-1994,"Многие считают, что именно смерть семьи побудила Фрэнка Касла стать Карателем. И в какой-то степени, данное мнение ошибочно. Вершить самосуд над преступниками, Фрэнка подтолкнула утраченная вера в людей: вера в искренность, взаимопомощь, честь и бескорыстие. Именно падение этих столпов социума в глазах Касла заставило его действовать самостоятельно и полагаться только на себя. Как и почему так получилось, вы узнаете из этой великолепной мини-серии за авторством небезызвестного Дэна Абнетта, которая стала отправной точкой в истории персонажа.",2025-10-28 18:06:56,1
