id,name,slug,description,created_at,active
14,Boom! Studios,boom-studios,"Американское издательство, собравшее несколько наград как лучший начинающий издатель. Издает самые разнообразные комиксы в числе которых и супергероика, графические книги, комиксы по лицензиям (28 дней спустя, Крепкий орешек, Farscape), комиксы по Warhammer, а также серии по лицензиям Disney и Pixar.",2025-10-28 18:06:56,1
15,Boundless,boundless,,2025-10-28 18:06:56,1
16,Chaos!,chaos,"Издательство с крайне неоднозначным набором комиксов. По большей части держалось на плаву за счет серии \""Lady Death\"" и комиксам по лицензиям различных музыкальных групп и федерации рестлинга. В 2002 году издательство закрылось и все серии, за исключением Lady Death, перешли в распоряжение Dynamite.",2025-10-28 18:06:56,1
17,Coffee Table,coffee-table,,2025-10-28 18:06:56,1
18,Coffin Comics,coffin-comics,"Сравнительно молодое издательство, позиционирующее себя как издатель комиксов о плохих парнях и девчонках. И это не удивительно - ведь его глава - Брайан Пулидо, создавший в начале 90-х культовое независимое издательство Chaos! Comics, которое было пронизано духом рок-н-ролла. В Coffin Comics тоже есть этот дух, как и любовь к лёгкой эротике и крови.",2025-10-28 18:06:56,1
19,CrossGen,crossgen,,2025-10-28 18:06:56,1
20,Crusade Fine Arts,crusade-fine-arts,"Crusade Fine Arts - небольшое издательство, основанное в 1994-м году Уильямом Туччи. Основной персонаж издательства - воительница Си, засветившаяся в куче кроссоверов со множеством персонажей.",2025-10-28 18:06:56,1
22,Vertigo,vertigo,"Подразделение DC Comics, которое выпускает комиксы, ориентированные на взрослую аудиторию. В историях Vertigo в полной мере присутствует насилие, секс, нецензурная брань, а также поднимаются серьезные социальные, личностные, религиозные темы.<br>Под маркой Vertigo вышли такие популярнейшие комиксы, как Preacher, Hellblazer, V for Vendetta, Sandman, 100 Bullets, Fables и многие другие.",2025-10-28 18:06:56,1
23,Wildstorm,wildstorm,"Подразделение DC Comics, основанное Джимом Ли. Основу продукции составляют комиксы о супергероях, но с более мрачным оттенком, чем у Marvel и DC. Также есть авторские серии и комиксы по популярным лицензиям (Секретные материалы, Пятница-13, StarCraft, WarCraft).",2025-10-28 18:06:56,1
24,Devil&#039;s Due,devil039s-due,"Devil\'s Due Publishing - независимое издательство некогда бывшее подразделением Image, но в 2003 ушедшее в свободное плавание. Может похвастаться очень широким выбором жанров.",2025-10-28 18:06:56,1
25,Digital Webbing,digital-webbing,,2025-10-28 18:06:56,1
27,Dynamite,dynamite,"Издательство стоящее на трех китах: комиксы по лицензиям (Рыжая Соня, Робокоп, Армия тьмы, Терминатор), литературные адаптации (Алиса в стране чудес, Шерлок Холмс, Зорро) и комиксы про супергероев. В значительной части комиксов не чураются запредельного уровня насилия.",2025-10-28 18:06:56,1
28,Harris,harris,,2025-10-28 18:06:56,1
29,Heavy Metal,heavy-metal,,2025-10-28 18:06:56,1
30,Humanoids Publishing,humanoids-publishing,"Французкое издательство, ориентированное на жанр фантастики. Наиболее известно благодаря журналу \'Metal Hurlant\'.",2025-10-28 18:06:56,1
31,Tundra Publishing,tundra-publishing,Издательство Tundra Publishing было основано Кевинем Истменов в 1990 году как площадка для талантливых художников и иллюстраторов.,2025-10-28 18:06:56,1
33,Top Cow,top-cow,"Подразделение Image, основанное Марком Сильвестри. Практически не имеет серий про супергероев и больше тяготит к фэнтэзи-жанру. Наиболее популярные серии безусловно \""the Darkness\"" и \""Witchblade\"", объединенные одной вселенной. Компания также примечательна большим количеством кроссоверов с другими издательствами.",2025-10-28 18:06:56,1
34,Le Lombard,le-lombard,,2025-10-28 18:06:56,1
35,Easy Prey,easy-prey,,2025-10-28 18:06:56,1
36,MAX,max,"Подразделение Marvel, ориентированное на взрослую аудиторию, которое появилось в 2004 году, когда в Marvel послали куда подальше Кодекс Комиксов и создали свою систему возрастных рейтингов.<br>Самая крупная серия MAX - это The Punisher.",2025-10-28 18:06:56,1
37,Nickelodeon,nickelodeon,«Nickelodeon» — детско-подростковый телевизионный канал. Создан в 1977 году в США. В настоящее время осуществляет трансляции на 22 языках.,2025-10-28 18:06:56,1
38,ICON,icon,"Подразделение Marvel, созданное для самых высокооплачиваемых авторов, под эгидой которого они занимаются созданием авторских серий.",2025-10-28 18:06:56,1
39,Mirage Studios,mirage-studios,"Американская компания, основанная Кевином Истманом и Питером Лейрдом. Известность компании принесли комиксы про Черепашек-ниндзя, которые и до сих пор являются флагманом Mirage.",2025-10-28 18:06:56,1
40,Radical Comics,radical-comics,"Молодая студия, основанная в 2004 году, но с большими планами. Четкого направления не имеет и может предложить комиксы на любой вкус от фэнтэзи до мистики. Примечательна стабильно высококачественным рисунком и известными авторами в числе которых и голливудские сценаристы. Основной задачей компания ставит создавать сюжеты, которые можно легко и успешно переносить на широкий экран и стоит сказать, что у них успешно получается - чуть ли не у половины серий заявлены экранизации.",2025-10-28 18:06:56,1
41,Red 5 Comics,red-5-comics,"Основанный в 2007-м независимый издатель комиксов, самая известная их серия - Atomic Robo. Одни из первых перешли на цифровое распространение комиксов.",2025-10-28 18:06:56,1
42,Soleil,soleil,"Французкое издательство, как своих так и зарубежных комиксов. В 2008 объединила силы с Marvel для издания за рубежом нескольких своих серий среди которых Sky Doll и Universal War One.",2025-10-28 18:06:56,1
43,Titan Comics,titan-comics,"Titan comics довольно свежий (основан в 2013-м) импринт знаменитого издательства Titan Publishing Group. Издают \""Доктора Кто\"", \""Шерлока\"", \""Кредо Ассасина\"", \""Теккен\"", \""Роботек\"" и \""Молот войны 40000\"".",2025-10-28 18:06:56,1
44,Th3rdWorld,th3rdworld,"Молодое независимое издательство, задачей которого было сделать что-нибудь новое \""на рынке перенасыщенном сюжетами про зомби и вампирами\"".",2025-10-28 18:06:56,1
45,IDW,idw,"Издательство, основанное в 1999 году. Изначально специализировалась на ужастиках (\""30 дней ночи\"" ее рук дело) - на данный момент также занимается сериями по лицензиям и собрала впечатляющий список клиентов среди которых Activision, Dimension Films, Electronic Arts, Fox, LEGO, Lions Gate, Microsoft, Pepsi, Square и еще множество.",2025-10-28 18:06:56,1
46,XO Editions,xo-editions,"XO Editions существует с 1999 года и его основатель Бернар Фиксо. Издательство издает небольшое количество книг, но намеревается затронуть наибольшее количество читателей как во Франции, так и за ее пределами. Большая часть их изданий были в списке лучших продаж.",2025-10-28 18:06:56,1
47,Zenescope,zenescope,"Zenescope Entertainment — одно из самых популярных независимых издательств комиксов. Основанное в 2005 году, издательство обрело большую популярность за счет серии комиксов Grimm Fairy Tales, представляющей собой переосмысление классических сказок. Стиль, выдерживаемый студией в комиксах, подразумевает большую жестокость и откровенные сцены.",2025-10-28 18:06:56,1
48,Devil_HS,devil_hs,Комиксы за авторством Devil_HS.,2025-10-28 18:06:56,1
50,Oleg-D,oleg-d,,2025-10-28 18:06:56,1
52,Papercutz,papercutz,,2025-10-28 18:06:56,1
248,Skybound,skybound,,2025-10-28 18:06:56,1
263,Viper Comics,viper-comics,,2025-10-28 18:06:56,1
265,self published,self-published,,2025-10-28 18:06:56,1
377,Archie Сomics,archie-somics,"Archie comics основано в 1939-м году (тогда называлось MLJ Magazines). Известно обилием серий про \""типичного \""подростка Арчи и его друзей. Также издают комиксы про Ёжика Соника, а в 90-х ударно издавало Черепашек-ниндзя.",2025-10-28 18:06:56,1
386,Homage comics,homage-comics,Бывшее подразделение Wildstorm. Главное задачей студии было сфокусироваться на авторских сериях. В 2004 году было объединено с другим подразделением Wildstorm - Cliffhanger.,2025-10-28 18:06:56,1
421,Dayjob Studio,dayjob-studio,,2025-10-28 18:06:56,1
433,Disney,disney,"Все мы любим комиксы Уолта Диснея (а кто не любит, просто отказывается в этом признаться). Но Дисней славится и своими увлекательными комиксами. Их вы и найдёте в этом разделе.",2025-10-28 18:06:56,1
434,Drawn &amp; Quarterly,drawn-amp-quarterly,"Независимое канадское издательство, выпускающее графические романы и альтернативные инди-комиксы. В Канаде это самое популярное издательство.",2025-10-28 18:06:56,1
442,Splitter,splitter,,2025-10-28 18:06:56,1
443,Locust Moon Press,locust-moon-press,,2025-10-28 18:06:56,1
450,Oni Press,oni-press,,2025-10-28 18:06:56,1
475,Tell Tale Publications,tell-tale-publications,,2025-10-28 18:06:56,1
505,Amalgam Comics,amalgam-comics,,2025-10-28 18:06:56,1
506,Toutain Editor,toutain-editor,,2025-10-28 18:06:56,1
544,Europe,europe,,2025-10-28 18:06:56,1
557,Atlas,atlas,,2025-10-28 18:06:56,1
565,Malibu,malibu,,2025-10-28 18:06:56,1
577,TidalWave,tidalwave,,2025-10-28 18:06:56,1
582,American Mythology Production,american-mythology-production,,2025-10-28 18:06:56,1
592,The Comic Coffin,the-comic-coffin,,2025-10-28 18:06:56,1
604,Epsilon,epsilon,,2025-10-28 18:06:56,1
607,First publishing,first-publishing,,2025-10-28 18:06:56,1
633,Aftershock,aftershock,,2025-10-28 18:06:56,1
640,Storm King Comics,storm-king-comics,,2025-10-28 18:06:56,1
645,Black Mask Studios,black-mask-studios,,2025-10-28 18:06:56,1
657,Ahoy Comics,ahoy-comics,,2025-10-28 18:06:56,1
669,Star Comics,star-comics,,2025-10-28 18:06:56,1
681,AWA Studios,awa-studios,,2025-10-28 18:06:56,1
683,RADCO,radco,,2025-10-28 18:06:56,1
719,12-Gauge Comics,12-gauge-comics,,2025-10-28 18:06:56,1
756,Boneyard Press,boneyard-press,,2025-10-28 18:06:56,1
804,Lightning Comics,lightning-comics,,2025-10-28 18:06:56,1
969,Beenox,beenox,,2025-10-28 18:06:56,1
983,Adventure,adventure,,2025-10-28 18:06:56,1
993,Cross Cult,cross-cult,,2025-10-28 18:06:56,1
998,Fantagraphics,fantagraphics,,2025-10-28 18:06:56,1
1008,MacClelland &amp; Stewart inc.,macclelland-amp-stewart-inc,,2025-10-28 18:06:56,1
1014,Comic Zone Productions,comic-zone-productions,,2025-10-28 18:06:56,1
1017,Antarctic Press,antarctic-press,,2025-10-28 18:06:56,1
